Thoigian,Linh_vuc,Chuyen_muc,Dia_diem,Muc_do,Nguon_tin,Tin_bai,Tom_tat_noi_dung
1/12/2023,đất đai,"chính sách, quản lý",Hà Nội,4,Tiền phong.,"Đề xuất thu hồi 12.858 ha đất để triển khai 2.836 công trình, dự án năm 2024.","UBND thành phố Hà Nội vừa có tờ trình gửi HĐND thành phố Hà Nội Về việc thông qua danh mục các công trình, dự án thu hồi đất năm 2024 trên địa bàn thành phố Hà Nội. Theo đó, UBND thành phố Hà Nội đề xuất HĐND thành phố xem xét, thông qua danh mục 2.836 công trình, dự án thu hồi đất năm 2024 với tổng diện tích 12.858,03ha."
1/12/2023,đất đai,"chính sách, quản lý",TP.HCM,4,Tiền phong,"Nóng chuyện ‘đất trống thì không quy hoạch, mà quy hoạch vào nhà dân’","Chiều 30/11, tổ đại biểu Quốc hội TPHCM đơn vị 10 gồm bà Nguyễn Thị Lệ – Chủ tịch HĐND TPHCM và Thiếu tướng Phan Văn Xựng – Chính ủy Bộ Tư lệnh TPHCM, cùng tổ đại biểu HĐND TPHCM đơn vị 30, 31 đã tiếp xúc cử tri huyện Hóc Môn, sau Kỳ họp thứ 6, Quốc hội khóa XV, trước Kỳ họp thứ 13 HĐND TPHCM khóa X."
1/12/2023,đất đai,"chính sách, quản lý",TP.HCM,4,Tiền phong,Cử tri TPHCM đề nghị xóa bỏ quy hoạch không phù hợp để người dân an tâm sử dụng đất,"Chiều 30/11, tổ đại biểu Quốc hội TPHCM đơn vị 10 gồm bà Nguyễn Thị Lệ – Chủ tịch HĐND TPHCM và Thiếu tướng Phan Văn Xựng – Chính ủy Bộ Tư lệnh TPHCM, cùng tổ đại biểu HĐND TPHCM đơn vị 30, 31 đã tiếp xúc cử tri huyện Hóc Môn, sau Kỳ họp thứ 6, Quốc hội khóa XV, trước Kỳ họp thứ 13 HĐND TPHCM khóa X."
1/12/2023,đất đai,"thực trạng, sai phạm",Quảng Trị,2,VietNamPlus,Quảng Trị: Hàng trăm ha bỏ hoang lãng phí trong khi dân thiếu đất sản xuất,"Do không có nguồn lực đầu tư trồng rừng và vướng mắc về pháp lý trong liên doanh, liên kết với doanh nghiệp, hiện nay, hàng nghìn hecta đất sản xuất ở Quảng Trị thuộc các Ban Quản lý rừng phòng hộ, khu bảo tồn quản lý đang bị bỏ hoang, gây lãng phí và phát sinh nhiều vụ lấn chiếm, tranh chấp đất rừng."
1/12/2023,đất đai,"chính sách, quản lý",Khánh Hòa,4,Pháp luật TP.HCM ,Bộ Quốc phòng điều tra sai phạm đất sân bay Nha Trang cũ.,"UBND tỉnh Khánh Hòa đã cung cấp thông tin, tài liệu liên quan đến việc sử dụng đất khu vực sân bay Nha Trang cũ cho cơ quan Điều tra hình sự Bộ Quốc phòng. Việc cung cấp thông tin, tài liệu này được thực hiện theo đề nghị của cơ quan Điều tra hình sự Bộ Quốc phòng nhằm phục vụ xác minh, điều tra các sai phạm liên quan việc sử dụng đất sân bay Nha Trang cũ."
1/12/2023,đất đai,"thực trạng, sai phạm",Quảng Trị,2,Tuổi trẻ,"Cấp đất một đàng, dự án điện gió lại xây dựng trụ tua bin một nẻo.","Đoàn kiểm tra liên ngành của tỉnh Quảng Trị phát hiện có đến 21 trụ tua bin gió của hai dự án điện gió Hướng Linh 1, Hướng Linh 2, do Công ty CP Tổng công ty Tân Hoàn Cầu (sau điều chỉnh thành Công ty CP điện gió Hướng Linh 2, có trụ sở tại Quảng Bình) làm chủ đầu tư, xây dựng ngoài đất được cấp. Về vấn đề này, ông Mai Văn Huế - chủ tịch HĐQT Công ty CP Tổng công ty Tân Hoàn Cầu – nói rằng ông làm đúng. Ông Huế cho biết toàn bộ đất trồng trụ tua bin gió của hai nhà máy điện gió Hướng Linh 1 và Hướng Linh 2 đều do công ty mua lại của người dân, hiện ông đều có sổ đỏ."
1/12/2023,đất đai,"thực trạng, sai phạm",Quảng Trị,2,Đại biểu nhân dân,Giám đốc tự ý điều chỉnh quy hoạch chi tiết “biến” đất biệt thự thành đất ở phân lô.,"Cơ quan Cảnh sát điều tra (Công an tỉnh Quảng Nam) đang thụ lý điều tra vụ án Nguyễn Văn Chương (sinh năm 1986, trú số 55 Lê Văn Thủ, phường Khuê Mỹ, quận Ngũ Hành Sơn, TP. Đà Nẵng), Giám đốc Chi nhánh Công ty TNHH phát triển đô thị Singapore có hành vi lừa đảo chiếm đoạt tài sản xảy ra tại thị xã Điện Bàn (Quảng Nam)."
1/12/2023,đất đai,"thực trạng, sai phạm",Quảng Nam,2,Đại Đoàn Kết,"Tự ý phân 233 lô đất, lừa hơn 8 tỷ đồng .","Cơ quan Cảnh sát điều tra (Công an tỉnh Quảng Nam) đang thụ lý điều tra vụ án Nguyễn Văn Chương (sinh năm 1986, trú số 55 Lê Văn Thủ, phường Khuê Mỹ, quận Ngũ Hành Sơn, TP. Đà Nẵng), Giám đốc Chi nhánh Công ty TNHH phát triển đô thị Singapore có hành vi lừa đảo chiếm đoạt tài sản xảy ra tại thị xã Điện Bàn (Quảng Nam)."
1/12/2023,đất đai,"kiến nghị, xử lý",Hà Nội,4,Kinh tế & Đô thị,Huyện Đan Phượng: Quyết tâm xử lý dứt điểm vi phạm trên đất nông nghiệp,"UBND huyện Đan Phượng cho biết trên địa bàn 3 xã Liên Hồng, Liên Hà, Liên Trung đang tồn tại 314 trường hợp xây dựng nhà xưởng trái phép trên đất nông nghiệp. Trong đó Liên Hà là xã tồn tại nhiều vi phạm nhất với 127 hộ xây dựng 171 lán, xưởng với diện tích lên tới 6,8ha. Các vi phạm chủ yếu là xây dựng nhà xưởng trên đất nông nghiệp, tiềm ẩn nguy cơ cháy nổ, ô nhiễm môi trường, ảnh hưởng đến an ninh trật tự."
1/12/2023,đất đai,"thực trạng, sai phạm",Cao Bằng,4,"Đại đoàn kết,",Cao Bằng: Phát hiện doanh nghiệp san lấp trái phép đất ruộng quy mô lớn.,"Phòng TN&MT huyện Hòa An (Cao Bằng) đã phối hợp với UBND xã Dân Chủ kiểm tra và phát hiện một doanh nghiệp đã san lấp ước tính hơn 3.000m2 đất ruộng để tạo mặt bằng, cùng nhiều máy móc cỡ lớn được tập kết tại hiện trường nhằm mục đích lắp đặt trạm trộn bê tông. Lãnh đạo Phòng TN&MT đã yêu cầu chủ đầu tư trạm trộn bê tông làm trên đất nông nghiệp phải tạm dừng việc xây dựng hạ tầng, lắp đất máy móc. Hiện vụ việc đang được tiến hành xử lý đúng theo các quy định của pháp luật."
1/12/2023,đất đai,"thực trạng, sai phạm",Đà Nẵng,2,"Đầu tư,",Đề nghị thu hồi 15.651 m² đất của Công ty Thuốc lá Đà Nẵng.,"trong 8 năm, Công ty Thuốc lá Đà Nẵng không triển khai thực hiện dự án, hiện tại các nhà xưởng, nhà kho đang bỏ trống, không sử dụng gây lãng phí trong quá trình sử dụng đất tại Cụm công nghiệp Trảng Nhật 1. Theo đó, UBND thị xã Điện Bàn đã có Tờ trình gửi UBND tỉnh Quảng Nam, Sở Tài nguyên và Môi trường đề nghị thu hồi đất của Công ty TNHH Thuốc lá Đà Nẵng."
1/12/2023,đất đai,"thực trạng, sai phạm",Bắc Kạn,2,Công luận,"Chợ Mới (Bắc Kạn): Chính quyền buông lỏng quản lý, doanh nghiệp ngang nhiên vi phạm xây dựng, lấn chiếm đất đai!","qua Thanh tra toàn diện về quản lý nhà nước trong lĩnh vực đất đai, môi trường, đầu tư, xây dựng và các nội dung liên quan tại xã Quảng Chu, Thanh tra huyện Chợ Mới đã phát hiện hàng loạt doanh nghiệp ngang nhiên hủy hoại đất, vi phạm xây dựng tràn lan. Theo đó, UBND xã Quảng Chu đã xử phạt đã ra các quyết định xử phạt đối với các công ty này."
1/12/2023,đất đai,"thực trạng, sai phạm",TP.HCM,2,Sài Gòn Giải phóng,"308 hộ dân bị “treo” sổ hồng vì 34,8m² đất tranh chấp.","308 hộ dân thuộc chung cư An Phú Đông, quận 12, TPHCM đã có đơn cầu cứu gửi các cơ quan chức năng và Báo SGGP về việc bị “treo” sổ hồng do chung cư phát sinh tranh chấp phần diện tích 34,8m² đất với hộ dân kế bên."
1/12/2023,nước,"thực trạng, sai phạm",Bình Định,2,"Tuổi trẻ,",Vụ 'sông chết vì bùn đất': Chủ tịch Bình Định chỉ đạo gì?,"liên quan đến vụ Sông 'chết' vì bùn đất, ông Phạm Anh Tuấn - chủ tịch UBND tỉnh Bình Định - cho biết tỉnh đã chỉ đạo các đơn vị liên quan khẩn trương khắc phục sự cố để người dân an tâm sinh sống. Ngoài ra, việc Công ty CP Cảng Quy Nhơn vận chuyển bùn đất từ việc nạo vét cảng Quy Nhơn (thuộc dự án đầu tư xây dựng nâng cấp bến số 1 - cảng Quy Nhơn) đến đổ tại đoạn sông Hà Thanh ở khu vực 4 (phường Nhơn Bình, TP Quy Nhơn). Sau đó bơm vào hai khu vực bãi đổ thuộc khu đô thị mới Chợ Góc do Công ty TNHH Phú Gia Riverside tiếp nhận làm vật liệu san lấp mặt bằng đã có đánh giá tác động môi trường, được tỉnh phê duyệt, thông qua."
1/12/2023,môi trường,"chính sách, quản lý",TP.HCM,4,Dân trí,Cấp phép cho bãi chôn lấp 1.500 tấn chất thải rắn sinh hoạt/ngày ở TPHCM.,"Thứ trưởng Bộ Tài nguyên và Môi trường Võ Tuấn Nhân vừa ký quyết định cấp giấy phép môi trường cho Công ty TNHH MTV Môi trường đô thị TPHCM (trụ sở tại phường Tân Định, quận 1, TPHCM) được thực hiện các hoạt động bảo vệ môi trường của cơ sở Bãi chôn lấp số 3, Khu liên hợp xử lý chất thải rắn Tây Bắc (xã Phước Hiệp, huyện Củ Chi, TPHCM) với tổng diện tích 21,6ha. Bãi chôn lấp số 3, Khu liên hợp xử lý chất thải rắn Tây Bắc (huyện Củ Chi, TPHCM) với công suất xử lý tối đa 1.500 tấn chất thải rắn sinh hoạt/ngày vừa được cấp giấy phép môi trường."
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,"Tin tức, Công Thương",Hội nghị cấp Bộ trưởng các nước tiểu vùng sông Mê Công về kiểm soát ô nhiễm khói mù xuyên biên giới  ,"Chiều 30/11, tại thành phố Nha Trang, tỉnh Khánh Hòa, Bộ Nông nghiệp và Phát triển nông thôn phối hợp với UBND tỉnh Khánh Hòa và các bên liên quan tổ chức  "
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,Công lý,"Hành động vì một cộng đồng ASEAN luôn có môi trường trong sạch, phát triển bền vững .","Chiều 30/11, tại thành phố Nha Trang, tỉnh Khánh Hòa, Bộ Nông nghiệp và Phát triển nông thôn phối hợp với UBND tỉnh Khánh Hòa và các bên liên quan tổ chức  "
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,"VOV, VTV",Các nước tiểu vùng sông Mê Kông hợp tác kiểm soát khói mù,"Chiều 30/11, tại thành phố Nha Trang, tỉnh Khánh Hòa, Bộ Nông nghiệp và Phát triển nông thôn phối hợp với UBND tỉnh Khánh Hòa và các bên liên quan tổ chức  "
1/12/2023,môi trường,"chính sách, quản lý",Đà Nẵng,4,Dân trí,"Đà Nẵng: Treo thưởng ""nóng"" cho người phát hiện đổ trộm phế thải xây dựng","Ngày 30/11, ông Bùi Trung Khánh, Chủ tịch UBND phường Hòa Khánh Nam (quận Liên Chiểu, Đà Nẵng), cho hay đơn vị vừa có văn bản triển khai việc tăng cường xử lý tình trạng đổ xà bần trên địa bàn."
1/12/2023,môi trường,"chính sách, quản lý",Khánh Hòa,4,Tin tức,Đối thoại tìm giải pháp giảm thiểu rác thải nhựa ở vịnh Nha Trang.,"Ngày 30/11, Hội Liên hiệp Phụ nữ tỉnh Khánh Hòa phối hợp với các đơn vị trong tỉnh thực hiện"
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,VietNamPlus,"Túi nylon: Khi người mua muốn hạn chế nhưng người bán vẫn ""quen tay"".","việc hạn chế túi nylon đang vấp phải một nghịch lý, khi những người mua hàng muốn giảm thiểu rác thải nhựa và những người bán hàng chỉ muốn bán hàng thật nhanh chóng và tiện lợi."
1/12/2023,môi trường,"chính sách, quản lý",Nam Định,4,VietNamPlus,Hơn 15.000kg rác thải nhựa thu gom từ 'mạng lưới bẫy rác' trên sông Hồng.,"sau 3 năm triển khai “Giảm thiểu ô nhiễm rác thải nhựa trên sông Hồng,” hơn 15.000kg rác thải (trong đó phần lớn là rác thải nhựa) thu gom từ các ""bẫy rác"" đặt trên sông Hồng, đã được phân loại và xử lý đảm bảo an toàn. Việc hơn 15.000kg rác thải nhựa vừa được thu gom từ các ""bẫy rác"" trên sông Hồng thuộc địa phận tỉnh Nam Định, giới chuyên gia tin tưởng rác thải nhựa từ đất liền ra đại dương sẽ dần được kiểm soát."
1/12/2023,môi trường,"chính sách, quản lý",TP.HCM,4,"VnExpress, Dân trí",Bãi trung chuyển rác ở cửa ngõ TP HCM thành công viên,"ngày 30/11, quận Bình Tân đưa vào sử dụng công viên trung tâm khu dân cư Vĩnh Lộc, phường Bình Hưng Hòa B, sau nửa năm thi công với kinh phí 19 tỷ đồng. Khu đất từng là bãi trung chuyển rác ở khu dân cư Vĩnh Lộc, được quận Bình Tân xây dựng thành công viên rộng gần 6 ha, giúp người dân có thêm nơi vui chơi."
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,VietNamPlus,Những bài toán nan giải về tính bao trùm của Chuyển dịch Xanh.,"tại Diễn đàn Quốc gia về Phát triển Bền vững Việt Nam 2023” với chủ đề Hội thảo Khoa học Quốc gia “Thúc đẩy Chuyển dịch Xanh, bao trùm ở Việt Nam” ngày 30/11, nhóm nghiên cứu của Học viện Chính sách chỉ ra Việt Nam đang gặp phải bài toán nan giải về tính bao trùm của Chuyển dịch Xanh. Trong đó, tính bao trùm của Chuyển dịch Xanh ở cấp độ địa phương, doanh nghiệp và người dân còn gặp nhiều khó khăn và vướng mắc, đặc biệt sau đại dịch COVID-19."
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,Kinh tế & Đô thị,Đề xuất mô hình giảm thiểu ô nhiễm không khí do vận chuyển hàng hóa.,"tại hội nghị Thành phố thông minh Việt Nam – Châu Á 2023 đã diễn ra hội thảo với chủ đề “Các giải pháp, tiện ích số thông minh”, các đại biểu đã Trong đó, ông Vũ Anh Tuấn - Phó Giám đốc, Công ty Dr.SME - gợi ý phát triển một ứng dụng để khách hàng có thể theo dõi theo việc đặt hàng của mình đã sinh ra bao nhiêu kg CO2 do di chuyển theo tháng; từ đó kiểm soát được việc mua hàng của mình."
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,Kinh tế & Đô thị,"Bồi đắp, xây dựng văn hóa bảo vệ môi trường","Ngày 1/12, báo tổ chức Lễ Tổng kết Chương trình truyền thông “Bảo vệ môi trường trên địa bàn TP Hà Nội năm 2023”, trao giải Cuộc thi viết; đồng thời phát động Chương trình năm 2024."
1/12/2023,môi trường,"chính sách, quản lý",Quảng Nam,4,Phụ nữ Tp HCM,Thành phố Hội An phải đi “gửi rác”,"Mỗi ngày trung bình TP Hội An (tỉnh Quảng Nam) thải ra 100 tấn rác. Trước đây rác thải được đưa về chôn lấp tại bãi rác Cẩm Hà (TP Hội An) có diện tích 1,3ha. Tuy nhiên từ năm 2017, bãi rác này bắt đầu quá tải."
1/12/2023,môi trường,"thực trạng, sai phạm",TP.HCM,2,Tiền phong,"TPHCM chìm trong sương mù, nồng độ bụi mịn ở ngưỡng cao gây hại cho sức khỏe.","TPHCM chìm trong sương mù, nồng độ bụi mịn ở ngưỡng cao gây hại cho sức khỏe."
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,Công luận,Cấp bách “cứu” ô nhiễm không khí để Hà Nội thực sự là thành phố đáng sống.,"Theo Tiến sĩ Hoàng Dương Tùng - Chủ tịch Mạng lưới không khí sạch Việt Nam, nhận xét ô nhiễm không khí là vấn đề nghiêm trọng của Hà Nội nhiều năm qua, bởi các nguyên nhân như giao thông, công nghiệp, xây dựng và các hoạt động dân sinh. Cần nghiên cứu các chỉ số ô nhiễm không khí để người dân, doanh nghiệp - những tác nhân gây nên ô nhiễm và cũng chịu ảnh hưởng bởi ô nhiễm - ý thức được tác hại của vấn nạn này từ đó điều chỉnh lại hành vi, nhận thức."
1/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,"VOV,",Giải pháp nào ứng phó với ô nhiễm không khí ở Hà Nội.,"các chuyên gia cho rằng với “căn bệnh ô nhiễm không khí của Hà Nội”, phải bắt đúng căn nguyên gây ra bệnh thì mới mong trị dứt bệnh hoặc chí ít thuyên giảm được. Cần tăng số trạm quan trắc không khí ở khu vực ngoại thành và có đánh giá chính xác mức độ ô nhiễm không khí ở từng khu vực để triển khai phương án xử lý; không đánh đồng số liệu của cả thành phố, dẫn đến triển khai dàn trải, gây tốn kém nguồn lực mà hiệu quả không cao."
1/12/2023,môi trường,"thực trạng, sai phạm",Bà Rịa - Vũng Tàu,2,"VnExpress,",70.000 tấn rác lộ thiên ở bờ biển Côn Đảo.,"bãi Nhát nằm trên đường Bến Đầm, cách thị trấn Côn Sơn, trung tâm của huyện Côn Đảo, khoảng 7 km. Nơi đây có bãi cát dài trắng mịn, thảm cỏ xanh tốt ven đường, gần biển có những mỏm đá nên thu hút rất đông du khách đến chụp ảnh. Tuy nhiên, đối diện bờ biển đẹp, phía bên kia đường là bãi rác tập trung duy nhất ở huyện Côn Đảo. Bãi rác rộng 3.800 m2, hiện chứa hơn 70.000 tấn rác và đã hết khả năng tiếp nhận."
1/12/2023,môi trường,"thực trạng, sai phạm",TP.HCM,2,Nhân Dân,Ám ảnh mùi hôi từ Khu liên hợp xử lý chất thải rắn Tây Bắc.,"Từ năm 2003, thời điểm Khu liên hợp xử lý chất thải rắn Tây Bắc (huyện Củ Chi, Thành phố Hồ Chí Minh) được xây dựng để xử lý rác cho thành phố, tuy nhiên điều đáng lo ngại là nhiều người dân sống ở khu vực này phải nhiều năm liền chịu đựng mùi hôi, thối bốc lên từ bãi tập kết rác. Nguyên nhân theo phản ánh của nhiều người dân là do phương pháp xử lý rác đã lạc hậu, trong khi lượng rác của thành phố ngày càng lớn khiến mức độ ô nhiễm không khí ngày càng nghiêm trọng."
1/12/2023,môi trường,"thực trạng, sai phạm",Kiên Giang,2,Tuổi trẻ,Vì sao cảng Tắc Cậu xuất hiện mùi hôi thối khắp nơi?,"người dân phản ánh nhiều doanh nghiệp chế biến hải sản ở khu vực cảng Tắc Cậu (Kiên Giang) bốc mùi hôi thối lâu nay nhưng chính quyền không xử lý dứt điểm. Về vấn đề này, chính quyền khẳng định đã kiến nghị tỉnh sớm di dời một số công ty chế biến bột cá ra khỏi khu dân cư."
1/12/2023,môi trường,"thực trạng, sai phạm",Quảng nam,2,VietNamPlus,Quảng Nam: Nguy cơ ô nhiễm do tràn dầu từ tàu hàng bị chìm.,"người dân địa phương lo ngại nếu việc trục vớt tàu chở hàng Nam Phát 01 bị chìm không kịp thời, nhiều khả năng vùng biển xã Bình Nam (tỉnh Quảng Nam) sẽ bị ô nhiễm do dầu tràn ra ngoài."
1/12/2023,môi trường,"chính sách, quản lý",Đồng Tháp,4,VnExpress,Vì sao bảo tồn sếu đầu đỏ mất nhiều chi phí?.,"Mới đây Đồng Tháp thông qua đề án bảo tồn đàn sếu chuyển giao từ Thái Lan, thực hiện tại Vườn quốc gia Tràm Chim. Trong tổng chi phí, khoảng 56 tỷ đồng cho nhận chuyển giao, nuôi dưỡng, sinh sản và tái thả sếu; cải tạo phục hồi sinh thái 24 tỷ đồng; xây dựng vùng nông nghiệp sinh thái 35 tỷ đồng và 51 tỷ đồng đầu tư trang thiết bị hạ tầng.."
1/12/2023,địa chất - khoáng sản,"chính sách, quản lý",toàn quốc,4,Dân trí,"Yêu cầu lắp trạm cân, camera giám sát việc khai thác cát","Thứ trưởng Bộ Tài nguyên và Môi trường Trần Quý Kiên mới đây có văn bản đề nghị các địa phương ban hành quy chế phối hợp quản lý khoáng sản ở các khu vực giáp ranh; chấn chỉnh hoạt động thăm dò, cấp phép khai thác khoáng sản cát sỏi, thu hồi khoáng sản thông qua nạo vét luồng lạch. "
1/12/2023,địa chất - khoáng sản,"chính sách, quản lý",Phú Yên,4,Thanh tra),"Làm rõ trách nhiệm tập thể, cá nhân liên quan khai thác khoáng sản","Chủ tịch UBND tỉnh Phú Yên Tạ Anh Tuấn đã ký Kết luận thanh tra số 06/KL-UBND ngày 17/11 về trách nhiệm tham mưu quản lý Nhà nước đối với các mỏ vật liệu xây dựng (VLXD) thông thường; việc đánh giá, thẩm định và công bố giá vật liệu xây dựng thông thường trên địa bàn tỉnh. Qua kết quả rà soát và số liệu thống kê cho thấy, số mỏ VLXD thông thường hiện nay đang khai thác so với khả năng đáp ứng nhu cầu để cung ứng VLXD thông thường là không đảm bảo."
1/12/2023,địa chất - khoáng sản,"chính sách, quản lý",Cần Thơ,4,"VOV, Lao Động",Cao tốc Mỹ Thuận-Cần Thơ cần hơn 40.000m3 cát để hoàn thành.,"Bộ GTVT vừa có văn bản đề nghị tỉnh An Giang hỗ trợ nguồn vật liệu cát đắp cho Dự án đầu tư xây dựng đường cao tốc Mỹ Thuận - Cần Thơ, giai đoạn 1. Bộ GTVT đề nghị tỉnh An Giang ưu tiến bố trí hơn 40.000m3 cát đắp, đảm bảo đủ vật liệu giúp cao tốc Mỹ Thuận - Cần Thơ đáp ứng thời gian về đích vào tháng 12/2023."
