Thoigian,Linh_vuc,Chuyen_muc,Dia_diem,Muc_do,Nguon_tin,Tin_bai,Link_tin_bai,Tom_tat_noi_dung,Muc_do_ten,Noi_dung_tin_bai,
5/12/2023,môi trường,"chính sách, quản lý",toàn quốc,4,VTV,"Từ 1/1/2025, bắt buộc phân loại rác thải tại nguồn.",https://vtv.vn/xa-hoi/tu-1-1-2025-bat-buoc-phan-loai-rac-thai-tai-nguon-20231204183530284.htm,"theo quy định của Luật BVMT từ 1/1/2025, bắt buộc phân loại rác thải tại nguồn",Trung tính,Theo hướng dẫn 3 nhóm chất thải chính sẽ được phân loại gồm Chất thải rắn có khả năng tái sử dụng tái chế chất thải thực phẩm chất thải rắn sinh hoạt khác Các địa phương sẽ còn rất nhiều việc phải làm từ thời điểm này Từ việc tuyên truyền hướng dẫn cộng đồng đến việc đồng bộ trong tất cả các khâu bao gồm đầu tư hạ tầng thu gom vận chuyển và xử lý tái chế rác thải sinh hoạt Đặc biệt thay đổi nhận thức và nâng cao ý thức của người dân trong việc phân loại rác vẫn sẽ là một bài toán khó Bởi thực tế đã có những địa phương việc phân loại rác dù đưa vào thực hiện hơn 5 năm qua nhưng vẫn chưa thể hình thành tính chủ động của người dân Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo,743
22/12/2023,đất đai,"thực trạng, sai phạm",Kiên Giang,4,Sài Gòn Giải phóng,Kiên Giang: Cưỡng chế các hộ dân chưa giao mặt bằng thi công cao tốc Bắc – Nam trước Tết Nguyên đán 2024,https://www.sggp.org.vn/kien-giang-cuong-che-cac-ho-dan-chua-giao-mat-bang-thi-cong-cao-toc-bac-nam-truoc-tet-nguyen-dan-2024-post719361.html,"ông Lê Văn Đủ, Phó Chủ tịch UBND huyện Vĩnh Thuận (tỉnh Kiên Giang) cho biết, đến nay địa phương đã bàn giao trên 98% mặt bằng cho chủ đầu tư Dự án cao tốc Bắc – Nam đoạn qua địa bàn huyện",Trung tính,Theo ông Đủ hiện còn 20 hộ dân chưa bàn giao mặt bằng trong đó có 10 hộ đã nhận tiền Dù huyện và tỉnh đã đối thoại giải quyết khiếu nại 2 lần nhưng đến nay các hộ dân này vẫn chưa chịu bàn giao mặt bằng Để đảm bảo tiến độ thi công cao tốc theo chỉ đạo của Thủ tướng Chính phủ chính quyền địa phương đang lên kế hoạch cưỡng chế trước Tết Nguyên đán 2024 để bàn giao mặt bằng cho chủ đầu tư dự án Phó Chủ tịch UBND huyện Vĩnh Thuận Lê Văn Đủ cho hay Tuyến cao tốc Bắc Nam phía đông giai đoạn 2021 2024 đoạn qua huyện Vĩnh Thuận có chiều dài tuyến chính là 17 1km tuyến nhánh kết nối với Thị trấn Vĩnh Thuận là 6 2km Có 462 hộ dân ở huyện Vĩnh Thuận có nhà đất vật kiến trúc ảnh hưởng bởi dự án với tổng diện tích phải bồi thường là 91 5ha và 60 căn nhà,750
4/12/2023,môi trường,"thực trạng, sai phạm",Hà Nội ,2,"Sài Gòn Giải phóng, Tuổi trẻ",Hà Nội: Ô nhiễm không khí ở mức cao ,https://www.sggp.org.vn/ha-noi-o-nhiem-khong-khi-o-muc-cao-post716797.html,phản ánh tình trạng ô nhiễm không khí tại HN,Tiêu cực,Ngày 3 12 thông tin từ ứng dụng theo dõi chất lượng không khí Air Visual cho thấy chỉ số chất lượng không khí AQI của TP Hà Nội rất kém mức độ ô nhiễm cao khi không khí ở khắp nơi bị bao phủ bởi màn sương mù và bụi mịn dày đặc Thời điểm 8 giờ sáng cùng ngày chỉ số AQI ở Hà Nội lên mức 182 và được Air Visual xếp thứ 3 trong 10 thành phố ô nhiễm nhất thế giới sau 2 thành phố Karachi và Lahore của Pakistan Nguyên nhân khiến cho miền Bắc và Hà Nội bị ô nhiễm không khí kéo dài nhiều ngày là do thời tiết thay đổi vào giai đoạn mùa đông khiến chất gây ô nhiễm bụi mịn và khói xe không phát tán được lên cao mà tập trung sát mặt đất Cùng với đó hiện nay là dịp cuối năm nên các hoạt động về giao thông công nghiệp xây dựng và dân sinh đốt rác đốt rơm rạ gia tăng,760
26/12/2023,môi trường,"chính sách, quản lý",TP.HCM,4,Sài Gòn Giải phóng,Nghiên cứu lập quy hoạch khu xử lý rác mới.,https://www.sggp.org.vn/nghien-cuu-lap-quy-hoach-khu-xu-ly-rac-moi-post719861.html,Việc nghiên cứu lập quy hoạch một khu xử lý rác mới đang được xúc tiến khẩn trương để đáp ứng nhu cầu tái chế của TPHCM từ nay đến 2025 và có dự phòng tới năm 2050.,Trung tính,Về vấn đề này bà Nguyễn Thị Thanh Mỹ Phó Giám đốc Sở TN MT TPHCM cho biết để đảm bảo sự phát triển ổn định bền vững giữ vệ sinh môi trường đô thị và nông thôn xây dựng một chiến lược lâu dài về phát triển cơ sở vật chất phục vụ công tác xử lý chất thải rắn TPHCM đang nghiên cứu lập quy hoạch một khu xử lý rác mới với các tiêu chí đảm bảo xử lý được các loại chất thải như chất thải rắn sinh hoạt chất thải rắn công nghiệp nguy hại và thông thường chất thải rắn y tế nguy hại và thông thường chất thải rắn xây dựng bùn thải từ hệ thống thoát nước và xử lý nước thải bùn thải từ nhà máy nước và phân bùn bể phốt Việc nghiên cứu lập quy hoạch một khu xử lý rác mới đang được xúc tiến khẩn trương để đáp ứng nhu cầu tái chế của TPHCM từ nay đến 2025 và có dự phòng tới năm 2050,775
12/12/2023,môi trường,"thực trạng, sai phạm",Đắk Lắk,4,VTV,Đắk Lắk: Cơ sở xử lý ô nhiễm gây ô nhiễm môi trường.,https://vtv.vn/xa-hoi/dak-lak-co-so-xu-ly-o-nhiem-gay-o-nhiem-moi-truong-20231211130626782.htm,"Cơ sở xử lý chất thải rắn Hòa Phú, thành phố Buôn Ma Thuột, do Công ty Cổ phần Đô thị và Môi trường Đắk Lắk quản lý vận hành, đang gây ô nhiễm. Trong đó, nước thải từ công ty rỉ rác theo những lỗ được khoét dọc chân tường và xả thẳng ra môi trường.",Trung tính,Cơ sở xử lý chất thải rắn Hòa Phú thành phố Buôn Ma Thuột đang được Công ty Cổ phần Đô thị và Môi trường Đắk Lắk quản lý vận hành Nước rỉ rác theo những lỗ được khoét dọc chân tường cứ thế xả thẳng ra môi trường Được đưa vào vận hành từ tháng 1 2020 tổng lượng rác thải được tập kết và xử lý bình quân tại cơ sở này là trên 300 tấn rác ngày đêm Tuy nhiên chỉ sau hơn 10 tháng cơ sở này đã bị xử phạt 225 triệu đồng về hành vi xả nước thải vượt quy chuẩn gây ô nhiễm môi trường Trong khi chờ nhà máy thu gom xử lý nước thải được xây dựng người dân vẫn phải sống chung với ô nhiễm với nước rỉ rác Câu chuyện xử lý ô nhiễm lại gây ô nhiễm đã khiến khiến tình trạng ô nhiễm vẫn cứ tái diễn chỉ là chuyển sự ô nhiễm từ nơi này sang nơi khác Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo,843
26/12/2023,môi trường,"thực trạng, sai phạm",Đồng Tháp,2,VTV,"Cháy tại kho xử lý rác thải, thiệt hại hơn 1 tỷ đồng.",https://vtv.vn/xa-hoi/chay-tai-kho-xu-ly-rac-thai-thiet-hai-hon-1-ty-dong-20231226004330286.htm,"vụ cháy xảy ra ngày 25/12 tại Công ty trách nhiệm hữu hạn một thành viên sản xuất thương mại dịch vụ môi trường Tiến Phát thuộc xã Mỹ Thọ, huyện Cao Lãnh, tỉnh Đồng Tháp.Vụ cháy không gây thiệt hại về người nhưng gây cháy hoàn toàn 03 kho chứa phế liệu, 03 xe ô tô tải trong kho, rác đốt, lò đốt.... tổng tài sản thiệt hại ước tính khoảng 1 tỷ 3 trăm triệu đồng.",Tiêu cực,Vào lúc 0 giờ ngày 25 12 2023 xảy ra vụ cháy tại Công ty trách nhiệm hữu hạn một thành viên sản xuất thương mại dịch vụ môi trường Tiến Phát thuộc xã Mỹ Thọ huyện Cao Lãnh tỉnh Đồng Tháp Vụ cháy không gây thiệt hại về người nhưng thiệt hại tài sản hơn 1 3 tỷ đồng của doanh nghiệp Sau khi nhận được tin báo lực lượng Công an tỉnh và Công an huyện Cao Lãnh đã nhanh chóng huy động 10 xe chữa cháy 05 máy bơm và hơn 70 cán bộ tham gia chữa cháy đảm bảo an ninh trật tự và điều tiết giao thông Đến 09 giờ 30 cùng ngày đám cháy được dập tắt hoàn toàn Hậu quả không thiệt hại về người cháy hoàn toàn 03 kho chứa phế liệu 03 xe ô tô tải trong kho rác đốt lò đốt tổng tài sản thiệt hại ước tính khoảng 1 tỷ 3 trăm triệu đồng Nguyên nhân vụ cháy đang được điều tra làm rõ Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo,871
12/12/2023,đất đai,"chính sách, quản lý",Quảng Trị,2,Công an nhân dân,Một huyện ở Quảng Trị thu hồi 71 sổ đỏ do cấp sai quy định.,https://cand.com.vn/Ban-doc-cand/mot-huyen-o-quang-tri-thu-hoi-71-so-do-do-cap-sai-quy-dinh-i716670/,"UBND huyện Hướng Hóa, tỉnh Quảng Trị cho biết vừa có Thông báo số 120 về thu hồi 71 giấy chứng nhận quyền sử dụng đất (sổ đỏ) đã cấp cho các hộ gia đình, cá nhân tại xã Húc theo Dự án Hành lang bảo tồn đa dạng sinh học Tiểu vùng Mê Kông mở rộng (còn gọi Dự án BCC). Nguyên nhân do cơ quan Nhà nước có thẩm quyền cấp sổ đỏ phát hiện các sổ này đã được cấp không đúng quy định. Trước đó, vào năm 2019, UBND huyện Hướng Hóa đã cấp 71 sổ đỏ nói trên cho các hộ gia đình, cá nhân tại xã Húc để trồng 83,4 hécta rừng, gồm rừng phục hồi và rừng sản xuất tại xã này.",Tiêu cực,Thông báo nêu lý do thu hồi là do cơ quan Nhà nước có thẩm quyền cấp sổ đỏ phát hiện các sổ này đã được cấp không đúng quy định Trước đó vào năm 2019 UBND huyện Hướng Hóa đã cấp 71 sổ đỏ nói trên cho các hộ gia đình cá nhân tại xã Húc để trồng 83 4 hécta rừng gồm rừng phục hồi và rừng sản xuất tại xã này Tuy nhiên diện tích này bị cấp chồng lên diện tích do Nhà nước đã cấp sổ đỏ cho Công ty Cổ phần Cao su Khe Sanh Đáng nói đây không phải là trường hợp cá biệt Báo CAND các số ra ngày 12 8 và 17 9 2023 cũng đã phản ánh từ khoảng năm 2013 đến nay trên địa bàn huyện này có rất nhiều trường hợp được cấp đất không đúng quy định Trong đó tập trung nhiều nhất tại thị trấn Khe Sanh với hàng nghìn hécta rừng và đất rừng của Nhà nước bị xâm hại lấn chiếm trái phép sau đó nhiều diện tích trong số này được UBND huyện hợp thức hóa cấp sổ đỏ cho các cá nhân trong và ngoài địa phương,880
18/12/2023,môi trường,"thực trạng, sai phạm",Đồng Nai,2,"Một Thế giới, ",Đồng Nai: Truy tìm tài xế xe hút bồn cầu xả nước thối ở trung tâm TP.Biên Hòa.,https://1thegioi.vn/dong-nai-truy-tim-tai-xe-xe-hut-bon-cau-xa-nuoc-thoi-o-trung-tam-tp-bien-hoa-211955.html,xe bồn ngang nhiên xả nước thải đen bốc mùi hôi thối xuống đường Đồng Khởi thuộc trung tâm TP.Biên Hòa (Đồng Nai) ,Tiêu cực,Hình ảnh chiếc xe bồn ngang nhiên xả nước thải đen bốc mùi hôi thối xuống đường Đồng Khởi thuộc trung tâm TP Biên Hòa Đồng Nai đã bị người dân bức xúc ghi lại Ngày 15 12 theo thông tin từ Công an TP Biên Hòa Đội Cảnh sát giao thông Trật tự đang xác minh tài xế lái xe hút bồn cầu xả nước thải trên đường để xử lý theo quy định Cụ thể vụ việc xảy ra vào ngày 14 12 trên đường Đồng Khởi trung tâm TP Biên Hòa Chiếc xe bồn mang biển kiểm soát 60C 491 86 do một tài xế điều khiển phía sau có 1 phụ xe Quá trình xe di chuyển trên đường đã để mở van xả khiến nước đen bị thải xuống đường Khi người dân bức xúc đã quay video ghi lại và hỏi tài xế tại sao lại xả nước bẩn xuống đường tuy nhiên tài xế đã không nói gì Bình luận của bạn đã được gửi và sẽ hiển thị sau khi được duyệt bởi ban biên tập Ban biên tập giữ quyền biên tập nội dung bình luận để phù hợp với qui định nội dung của Báo,881
5/12/2023,đất đai,"chính sách, quản lý",TPHCM,4,Sài Gòn Giải phóng ,"Năm 2023, hơn 22.000 căn nhà tại TPHCM được cấp sổ hồng. ",https://www.sggp.org.vn/nam-2023-hon-22000-can-nha-tai-tphcm-duoc-cap-so-hong-post716960.html,"trong 11 tháng của năm 2023, TPHCM đã cấp hơn 20.000 giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất (sổ hồng) cho người dân",Trung tính,Như vậy trong năm 2023 có hơn 22 000 căn nhà tại TPHCM được cấp sổ hồng Theo thống kê vào thời điểm đầu năm 2023 trên địa bàn TPHCM còn khoảng 81 000 căn nhà chưa được cấp sổ hồng Dự kiến đến cuối năm 2023 TPHCM còn khoảng 59 000 căn nhà chưa được cấp sổ hồng Số lượng căn nhà chưa được cấp sổ hồng chủ yếu tập trung ở 4 nhóm Nhóm đầu tiên là 30 896 căn nhà bị chủ đầu tư dự án chậm nộp hồ sơ đề nghị cấp sổ Sở TN MT đã yêu cầu làm rõ nguyên nhân vấn đề khó khăn của doanh nghiệp trong việc chậm nộp hồ sơ đề nghị cấp sổ hồng các dự án từ đó đôn đốc thực hiện việc nộp hồ sơ Nhóm thứ hai là 29 dự án với khoảng 10 019 căn chưa được cấp sổ do vướng mắc về loại hình bất động sản mới chưa được quy định tại các văn bản quy phạm pháp luật Việc thực hiện cấp sổ đối với loại hình này đang chờ ý kiến hướng dẫn của Bộ TN MT Nhóm thứ ba là 39 dự án với khoảng 19 958 căn phải thực hiện nghĩa vụ tài chính bổ sung Nhóm thứ tư là 18 dự án khoảng 8 235 căn đang bị thanh tra kiểm tra điều tra,983
13/12/2023,địa chất - khoáng sản,"kiến nghị, xử lý",Đắk Nông,4,VTV,Đắk Nông: Phạt 2 đối tượng về hành vi hủy hoại đất.,https://vtv.vn/phap-luat/dak-nong-phat-2-doi-tuong-ve-hanh-vi-huy-hoai-dat-20231212155204436.htm,"ông Trần Văn Thủy, Chủ tịch UBND xã Nâm N'Jang cho biết, hai trường hợp bị xử phạt gồm: Ông N.V.H (39 tuổi) và ông L.M.K (39 tuổi), cùng trú tại xã Nâm N’Jang. Mỗi trường hợp bị phạt 3,5 triệu đồng về hành vi hủy hoại đất trên diện tích 125 m2. Yêu cầu 2 cá nhân trên trong 10 ngày phải khôi phục hiện trạng ban đầu của khu đất trước khi vi phạm. Trước đó, HĐND tỉnh Đắk Nông đã có nghị quyết quy hoạch bổ sung khu vực này là mỏ đất. Tuy nhiên, đến thời điểm này, UBND tỉnh vẫn chưa có quyết định thu hồi, chuyển đổi mục đích sử dụng hoặc cấp phép thành mỏ đất, nên việc khai thác đang diễn ra trái phép.",Trung tính,Ngày 12 12 ông Trần Văn Thủy Chủ tịch UBND xã Nâm N Jang cho biết hai trường hợp bị xử phạt gồm Ông N V H 39 tuổi và ông L M K 39 tuổi cùng trú tại xã Nâm N Jang Mỗi trường hợp bị phạt 3 5 triệu đồng về hành vi hủy hoại đất trên diện tích 125 m2 Yêu cầu 2 cá nhân trên trong 10 ngày phải khôi phục hiện trạng ban đầu của khu đất trước khi vi phạm Được biết khu đất này thuộc sở hữu của ông L M T trú thôn 10 và đã được cấp giấy chứng nhận quyền sử dụng đất với diện tích khoảng 400m2 đất ở nông thôn Hiện trường khu đất bị khai thác trái phép tại thôn 10 xã Nâm N Jang huyện Đắk Song Đắk Nông Ông Trần Văn Thủy cho biết thêm trước đó HĐND tỉnh Đắk Nông đã có nghị quyết quy hoạch bổ sung khu vực này là mỏ đất Tuy nhiên đến thời điểm này UBND tỉnh vẫn chưa có quyết định thu hồi chuyển đổi mục đích sử dụng hoặc cấp phép thành mỏ đất nên việc khai thác đang diễn ra trái phép Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo,983
